lastUpdatedAt,actualLandingTime,aircraftRegistration,estimatedLandingTime,expectedTimeOnBelt,flightDirection,flightName,flightNumber,gate,pier,id,isOperationalFlight,mainFlight,prefixIATA,prefixICAO,airlineCode,scheduleDateTime,scheduleDate,scheduleTime,serviceType,terminal,schemaVersion,aircraftType_iataMain,aircraftType_iataSub,baggageClaim_belts,codeshares_codeshares,publicFlightState_flightStates,route_destinations,route_eu,route_visa,actualOffBlockTime,expectedSecurityFilter,checkinAllocations_checkinAllocations,expectedTimeBoarding,expectedTimeGateClosing,expectedTimeGateOpen
2025-03-04T02:01:47.178+01:00,2025-03-04T00:20:00.000+01:00,PHYHC,2025-03-04T00:32:00.000+01:00,2025-03-04T00:57:55.000+01:00,A,HV6888,6888,Z10,Z,141847971462553648,True,HV6888,HV,TRA,164.0,2025-03-04T00:15:00.000+01:00,2025-03-04,00:15:00,J,1.0,4,32S,32Q,['2'],['KL2746'],"['ARR', 'EXP']",['KEF'],S,False,,,,,,
2025-03-04T02:01:47.178+01:00,2025-03-04T00:20:00.000+01:00,PHYHC,2025-03-04T00:32:00.000+01:00,2025-03-04T00:57:55.000+01:00,A,KL2746,2746,Z10,Z,141847971840725908,True,HV6888,KL,KLM,100.0,2025-03-04T00:15:00.000+01:00,2025-03-04,00:15:00,J,1.0,4,32S,32Q,['2'],['KL2746'],"['ARR', 'EXP']",['KEF'],S,False,,,,,,
2025-03-04T10:18:11.356+01:00,,,2025-03-04T22:45:00.000+01:00,,A,OR3721,3721,,,141847972418068644,True,OR3721,OR,TFL,231.0,2025-03-04T00:20:00.000+01:00,2025-03-04,00:20:00,J,,4,737,7M8,,,"['SCH', 'EXP']","['VXE', 'SID']",N,False,,,,,,
2025-03-04T02:06:59.167+01:00,2025-03-04T00:15:00.000+01:00,PHHXO,2025-03-04T00:12:00.000+01:00,2025-03-04T01:00:09.000+01:00,A,HV5662,5662,D60,D,141847971462446706,True,HV5662,HV,TRA,164.0,2025-03-04T00:30:00.000+01:00,2025-03-04,00:30:00,J,1.0,4,737,73H,['6'],"['DL7520', 'KL2574']","['ARR', 'EXP']",['LPA'],S,False,,,,,,
2025-03-04T02:06:59.167+01:00,2025-03-04T00:15:00.000+01:00,PHHXO,2025-03-04T00:12:00.000+01:00,2025-03-04T01:00:09.000+01:00,A,DL7520,7520,D60,D,141847970870411404,True,HV5662,DL,DAL,58.0,2025-03-04T00:30:00.000+01:00,2025-03-04,00:30:00,J,1.0,4,737,73H,['6'],"['DL7520', 'KL2574']","['ARR', 'EXP']",['LPA'],S,False,,,,,,
2025-03-04T02:06:59.167+01:00,2025-03-04T00:15:00.000+01:00,PHHXO,2025-03-04T00:12:00.000+01:00,2025-03-04T01:00:09.000+01:00,A,KL2574,2574,D60,D,141847971840720650,True,HV5662,KL,KLM,100.0,2025-03-04T00:30:00.000+01:00,2025-03-04,00:30:00,J,1.0,4,737,73H,['6'],"['DL7520', 'KL2574']","['ARR', 'EXP']",['LPA'],S,False,,,,,,
2024-10-16T15:17:07.059+02:00,,,,,A,HV6904,6904,,,141847971462555786,False,HV6904,HV,,,2025-03-04T00:35:00.000+01:00,2025-03-04,00:35:00,J,,4,73H,73H,,,['SCH'],"['DXB', 'ATH']",N,False,,,,,,
2024-08-22T10:40:37.943+02:00,,,,,A,HV6308,6308,,,141847971462539366,False,HV6308,HV,,,2025-03-04T00:45:00.000+01:00,2025-03-04,00:45:00,J,,4,73H,73H,,,['SCH'],['BEY'],N,False,,,,,,
2025-03-04T00:51:35.939+01:00,2025-03-04T00:32:00.000+01:00,PHCKC,2025-03-04T00:30:00.000+01:00,,A,MP9462,9462,,,141847972133796092,True,MP9462,MP,MPH,122.0,2025-03-04T00:55:00.000+01:00,2025-03-04,00:55:00,F,,4,74F,74Y,,,"['LND', 'EXP']","['HKG', 'DWC']",N,False,,,,,,
2025-03-04T05:09:23.353+01:00,2025-03-04T04:48:41.000+01:00,OELYA,2025-03-04T04:48:52.000+01:00,,A,QY1446,1446,,,141847972721472058,True,QY1446,QY,BCS,289.0,2025-03-04T05:10:00.000+01:00,2025-03-04,05:10:00,F,,4,76F,76Y,,,"['LND', 'EXP']",['LEJ'],S,False,,,,,,
2025-03-04T05:35:26.381+01:00,2025-03-04T05:17:07.000+01:00,OEIXF,2025-03-04T05:16:14.000+01:00,,A,FX4235,4235,,,141847971192455048,True,FX4235,FX,FDX,219.0,2025-03-04T05:15:00.000+01:00,2025-03-04,05:15:00,F,,4,73F,73K,,,['LND'],['CDG'],S,False,,,,,,
2025-03-04T08:48:42.347+01:00,2025-03-04T06:08:58.000+01:00,PHBVP,2025-03-04T06:08:32.000+01:00,2025-03-04T07:20:16.273+01:00,A,KL0714,714,E24,E,141847971840523070,True,KL0714,KL,KLM,100.0,2025-03-04T05:45:00.000+01:00,2025-03-04,05:45:00,J,4.0,4,777,77W,['19'],,"['ARR', 'EXP']",['PBM'],N,False,,,,,,
